"","PROBEID","t","p","p_adjust","SYMBOL"
"12016","235350_at",-12.0138725666467,3.31177546833489e-21,9.02827701002631e-20,"C4orf19"
"12017","205489_at",-12.2724638535565,2.20267982032465e-23,7.85087838224776e-22,"CRYM"
"12018","211715_s_at",-12.6058097110229,2.25290308200601e-23,8.0169137620915e-22,"BDH1"
"12019","214106_s_at",-12.7566492476803,9.69299840664028e-22,2.8241756071834e-20,"GMDS"
"12020","1568598_at",-12.7662372017674,1.88461517559182e-24,7.61695751793781e-23,"KAZALD1"
"12021","203240_at",-12.9011822708209,1.35506451957562e-23,4.99130538004887e-22,"FCGBP"
"12022","218189_s_at",-13.0973729898286,5.78653545456696e-25,2.49921600897542e-23,"NANS"
"12023","222764_at",-13.1106232705741,1.48461449287575e-24,6.11244924010734e-23,"ASRGL1"
"12024","227725_at",-13.6604464989953,9.50374915814189e-24,3.59072183029831e-22,"ST6GALNAC1"
"12025","220622_at",-14.0976603177533,7.06441979422688e-28,4.60378623690637e-26,"LRRC31"
